Question,answer
i would like to have one espresso and 3 Cheery Vanila,Sir thanks for your order. You have ordered 1 espresso and 3 Cheery Vanila.Please wait for sometime.
do u have dirty coffee,"No sir, but why."
do u have good milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
do u have bad milkshake,"No sir, but why."
what should i take,"Pardon, may i suggest you a Mint White Chocolate"
no can u suggest something else,Hope you like to have Oreo Shake.
ok i will have two caffe latte,Sure! 2  Oreo Shake are on way. Please wait for sometime.
what should i take,Hope you like to have cappccino.
ok i will take one,"Pardon, may i suggest you a irish cappccino."
suggest me something,I may suggest you Wainans Choco Coffee
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Nutella Puff
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Cappuchino
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is im menu,pardon have coffee ought you vanilla_ice_cream kinda_gal honey Bikini_
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Simple Coffee
suggest me something,I may suggest you Cappuchino
suggest me something,I may suggest you Au Laite Cappucchino
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Mix  Cupcake
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Avocado Shake,"Its our one of best, you can enjoy it at just Rs. 200"
suggest me something,I may suggest you Mix Fruit Smothie
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Black Coffee,"Its our one of best, you can enjoy it at just Rs. 189"
what is price of Black Coffee,"Its our one of best, you can enjoy it at just Rs. 189"
what is price of Espresso,"Its our one of best, you can enjoy it at just Rs. 189"
what is price of Espresso,"Its our one of best, you can enjoy it at just Rs. 189"
suggest me something,I may suggest you Nutella Puff
suggest me something,I may suggest you Peanut Vanila
suggest me something,I may suggest you Waffel Ice-cream
suggest me something,I may suggest you Cappuchino
hello,hello How may I help you
hello,hello How may I help you
what is price of Au Laite Cappucchino,"Sir Au Laite is of Rs. 190, Au Laite Cappucchino is of Rs. 190"
what is price of Easy Spinach,"Its our one of best, you can enjoy it at just Rs. 180"
suggest me something,I may suggest you Irish Coffee 
what is price of Blueberry Puff,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of Blueberry Puff,"Its our one of best, you can enjoy it at just Rs. 180"
can i have 5 Waffel Ice-cream,Sir thanks for your order. You have ordered 
can i have 5 Waffel Ice-cream,Sir thanks for your order. You have ordered 
recomend me something,yes sir loooooove indian filter you reallllly Cindy_Crawford l'_Affair
what is price of Fruit & Cheese cerame,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Fruit & Cheese cerame,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Honey Slice,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Simple Coffee,"Its our one of best, you can enjoy it at just Rs. 150"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Au Laite Cappucchino,"Sir Au Laite is of Rs. 190, Au Laite Cappucchino is of Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Cappuchino
suggest me something,I may suggest you Frappe
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest something,I may suggest you Chans Espresso
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Peanut Vanila
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest something,I may suggest you Au Laite
suggest me something,I may suggest you Rough Puff
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Fruit & Cheese cerame
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Honey Slice
suggest me something,I may suggest you Au Laite
suggest me something,I may suggest you Mango cream Bluree
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Au Laite
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Au Laite
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Walnut Pastry
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Egg Puff
suggest something,I may suggest you Pista Shake
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Cappuchino
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
hello,hello how may i help you Ovidiu_Rom l'_Affaire l'_Affaire l'_Affaire O
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Avocado Shake,"Its our one of best, you can enjoy it at just Rs. 200"
hello,hello how may i help you Ovidiu_Rom l'_Affaire l'_Affaire l'_Affaire O
 do you have milkshake,yes please what combo avocado shake apple pomegranate juice drumstick 
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of French Pastery,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of  Blueberry Puff,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of Cinnimon Orange rolls,"Its our one of best, you can enjoy it at just Rs. 180"
suggest me something,I may suggest you Keto Puff
what is price of Simple Cherry Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Char Sui,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of Easy Spinach,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of Beef Wellington,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of Keto Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Nutella Puff,"Its our one of best, you can enjoy it at just Rs. 190"
"what is price of Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simpl","Sir Nutella Puff is of Rs. 190, Asparagus Puff is of Rs. 190, Egg Puff is of Rs. 190, Rough Puff is "
what is price of Honey Slice,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Asparagus Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Rough Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Simple Cherry Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Tart Social,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of Blaeter  tertei Puff,"Its our one of best, you can enjoy it at just Rs. 180"
suggest me something,I may suggest you Chans Espresso
suggest me something,I may suggest you Macrons
suggest me something,I may suggest you Latte Macchiato
what is price of Macrons,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Latte Macchiato,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of  Tanuki,"Its our one of best, you can enjoy it at just Rs. 150"
what is price of Tomato Cheese,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of Chocolate and Vanila Combo,"Its our one of best, you can enjoy it at just Rs. 250"
what is price of Drumstick Milkshake,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Pumpkin Shake,"Its our one of best, you can enjoy it at just Rs. 200"
what is price of Malted Chocolate,"Its our one of best, you can enjoy it at just Rs. 200"
what is price of Oreo Shake,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Pista Shake,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Mix Fruit Smothie,"Its our one of best, you can enjoy it at just Rs. 200"
what is price of Tiramisu Milkshake,"Its our one of best, you can enjoy it at just Rs. 250"
what is price of Banana Cream treat,"Its our one of best, you can enjoy it at just Rs. 200"
"what price of Cotton candy shake,Cranberry Orange,Mint White Chocolate","Sir Cotton candy shake is of Rs. 200, Cranberry Orange is of Rs. 200, Mint White Chocolate is of Rs."
what is price of Cotton candy shake,"Its our one of best, you can enjoy it at just Rs. 200"
can i have table for 2 on 2-4-20 at 11:00,Sir thanks for your order. You have ordered 
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
can i have menu,Sir thanks for your order. You have ordered 
suggest me something,I may suggest you Latte Macchiato
can i have 2 Americano,Sure! 2 Americano are on way. Please wait for sometime.
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Nutella Puff
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Honey Slice,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just Rs. 190"
suggest me something,I may suggest you Vanila Layer
book me a table,To book a table you can click on last icon on your left side
what is price of Americano,"Its our one of best, you can enjoy it at just Rs. 190"
book me a table,To book a table you can click on last icon on your left side
book me a table,To book a table you can click on last icon on your left side
suggest me something,I may suggest you Nutella Puff
what is price of Cheery Vanila,"Its our one of best, you can enjoy it at just Rs. 250"
what is price of Peanut Vanila,"Its our one of best, you can enjoy it at just Rs. 250"
what is price of Red Velvet,"Its our one of best, you can enjoy it at just Rs. 200"
what is price of Strawberry Traimisu,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of Black Forest,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Black Tie Mose,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Honey Slice,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Walnut Pastry,"Its our one of best, you can enjoy it at just Rs. 200"
what is price of Mango cream Bluree,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Maxres Special,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Strawberry Basque,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Vanila Layer,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Fruit & Cheese cerame,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Macrons,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Waffel Ice-cream,"Its our one of best, you can enjoy it at just Rs. 200"
what is price of Waffel Choco,"Its our one of best, you can enjoy it at just Rs. 200"
what is price of  Simple Coffee,"Its our one of best, you can enjoy it at just Rs. 150"
what is price of Cappuchino,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Au Laite,"Its our one of best, you can enjoy it at just Rs. 190"
what is price of Au Laite Cappucchino,"Sir Au Laite is of Rs. 190, Au Laite Cappucchino is of Rs. 190"
what is price of Chans Espresso ,"Sir Chans Espresso is of Rs. 189, Espresso is of Rs. 189"
what is price of Chans Espresso ,"Sir Chans Espresso is of Rs. 189, Espresso is of Rs. 189"
what is price of Con Panna,"Its our one of best, you can enjoy it at just Rs. 189"
what is price of Black Coffee,"Its our one of best, you can enjoy it at just Rs. 189"
what is price of Espresso,"Its our one of best, you can enjoy it at just Rs. 189"
what is price of Frappe,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of French Coffee ,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of Iced Coffee Late,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of Latte Macchiato,"Its our one of best, you can enjoy it at just Rs. 180"
what is price of Wainans Choco Coffee,"Its our one of best, you can enjoy it at just Rs. 190"
book me a table,To book a table you can click on last icon on your left side
Question,answer
hey,Hello! How may I help you.
do u have coffee,"Yes sir  Simple Coffee ,Cappuchino, Americano, Au Laite ,Au Laite Cappucchino ,Chans Espresso ,Con Panna, Black Coffee, Espresso, Frappe ,French Coffee ,Iced Coffee Late ,Irish Coffee, Latte Macchiato and  Wainans Choco Coffee.What would u like to have?"
i will take one espresso and 5 americano,Sir thanks for your order. You have ordered 1 espresso and 5 americano.Please wait for sometime.
anything special,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
 suggest something,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
"do You have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee",Yes we have your choice in our cafe.
"Do You have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee",Yes we have your choice in our cafe.
"do u have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee",Yes we have your choice in our cafe.
what special do u have,"  Prdon please, what you want ?"
hello,  Hello! How may I help you.
 what special do u have,"  Prdon please, what you want ?"
 what special do u have,"  Prdon please, what you want ?"
 what special do u have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
what do you have coffee,"Yes sir  Simple Coffee ,Cappuchino, Americano, Au Laite ,Au Laite Cappucchino ,Chans Espresso ,Con Panna, Black Coffee, Espresso, Frappe ,French Coffee ,Iced Coffee Late ,Irish Coffee, Latte Macchiato and  Wainans Choco Coffee.What would u like to have?"
 do you have espresso,  Yes we have your choice in our cafe.
 do you have coffee,"Yes sir  Simple Coffee ,Cappuchino, Americano, Au Laite ,Au Laite Cappucchino ,Chans Espresso ,Con Panna, Black Coffee, Espresso, Frappe ,French Coffee ,Iced Coffee Late ,Irish Coffee, Latte Macchiato and  Wainans Choco Coffee.What would u like to have?"
 what do you have,"  Prdon please, what you want ?"
hey,Hello! How may I help you.
 do u have coffee,"Yes sir  Simple Coffee ,Cappuchino, Americano, Au Laite ,Au Laite Cappucchino ,Chans Espresso ,Con Panna, Black Coffee, Espresso, Frappe ,French Coffee ,Iced Coffee Late ,Irish Coffee, Latte Macchiato and  Wainans Choco Coffee.What would u like to have?.What would u like to have?"
 i will take one espresso and 2 americano,Sir thanks for your order. You have ordered 1 espresso and 2 americano.Please wait for sometime.
i will take one espresso and 5 americano,Sir thanks for your order. You have ordered 1 espresso and 5 americano.Please wait for sometime.
anything special,
suggest something,
suggest something,
what do u think we should have,
what special do u have,"Pardon please, what you want ?"
 hello,Hello! How may I help you.
what special do u have," Pardon please, what you want ?"
what special do u have," Pardon please, what you want ?"
what special do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do you have," Pardon please, what you want ?"
do you have h,"Pardon please, what you want ?"
do you have h,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
what do you have,"Pardon please, what you want ?"
what do you have coffee,"Yes sir  Simple Coffee ,Cappuchino, Americano, Au Laite ,Au Laite Cappucchino ,Chans Espresso ,Con Panna, Black Coffee, Espresso, Frappe ,French Coffee ,Iced Coffee Late ,Irish Coffee, Latte Macchiato and  Wainans Choco Coffee.What would u like to have?"
hey,Hello! How may I help you.
do u have milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores"
I will take one espresso and 2 americano,Sir thanks for your order. You have ordered 1 espresso and 2 americano.Please wait for sometime.
,
i will take one espresso and 5 americano,Sir thanks for your order. You have ordered 1 espresso and 5 americano.Please wait for sometime.
anything special,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
 suggest something,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
"do you have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores",Yes we have your choice in our cafe.
"Do You have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores",Yes we have your choice in our cafe.
"do u have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores",Yes we have your choice in our cafe.
what special do u have,"  Prdon please, what you want ?"
hello,  Hello! How may I help you.
 what special do u have,"  Prdon please, what you want ?"
 what special do u have,"  Prdon please, what you want ?"
 what special do u have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
what do you have milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
 do you have espresso,  Yes we have your choice in our cafe.
 do you have milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
 what do you have,"  Prdon please, what you want ?"
hey,Hello! How may I help you.
 do u have milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
 i will take one Avocado Shake and 2 Salted Caramel Pretzel ,Sir thanks for your order. You have ordered 1 Avocado Shake   and 2 Salted Caramel Pretzel .Please wait for sometime.
i will take one Chocolate and Vanila Combo and 5 americano,Sir thanks for your order. You have ordered 1 Chocolate and Vanila Combo and 5 americano.Please wait for sometime.
anything special,
suggest something,
suggest something,
what do u think we should have,
what special do u have,"Pardon please, what you want ?"
 hello,Hello! How may I help you.
what special do u have," Pardon please, what you want ?"
what special do u have," Pardon please, what you want ?"
what special do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do you have," Pardon please, what you want ?"
do you have h,"Pardon please, what you want ?"
do you have h,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
what do you have,"Pardon please, what you want ?"
what do you have milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
give me two red velvet please,Sure! 2 red velvet are on way. Please wait for sometime.
thank you,Would you like indian filter coffee.
hey,Hello! How may I help you.
give me two red velvet please,Sure! 2 red velvet are on way. Please wait for sometime.
thank you,Would you like indian filter coffee.
hey,Hello! How may I help you.
what is in the menu,"Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
I will take one Mix Cupcake and 2 Strawberry Traimisu.,Sir thanks for your order. You have ordered  Mix Cupcake and 2 Strawberry Traimisu.Please wait for sometime.
anything special,"
Yes sir Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
do u have dirty coffee,"No sir, but why."
do u have good pastery,Yes sir
do you have  pastery,"
Yes sir Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
"do you have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco ?",Yes we have your choice in our cafe.
"do you have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco?",Yes we have your choice in our cafe.
what special do u have,"  Pardon please, what you want ?"
hello,  Hello! How may I help you.
 what special do u have,"  Pardon please, what you want ?"
 what special do u have,"  Pardon please, what you want ?"
 what special do u have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
what do you have,"Pardon please, what you want ?"
what do you have pastery?,"Yes sir Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
hey,Hello! How may I help you.
do u have pastery?,"Yes sir Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
I will take one Mix Cupcake and 2 Strawberry Traimisu.,Sir thanks for your order. You have ordered  Mix Cupcake and 2 Strawberry Traimisu.Please wait for sometime.
,
I will take one Mix Cupcake and 2 Strawberry Traimisu.,Sir thanks for your order. You have ordered  Mix Cupcake and 2 Strawberry Traimisu.Please wait for sometime.
anything special,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
 suggest something,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
"do You have Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco.",Yes we have your choice in our cafe.
 do you have pastery,"Yes sir, we have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
 do you have Waffel Ice-cream?,  Yes we have your choice in our cafe.
 do you have pastery?,"Yes sir, we have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
 what do you have,"  Pardon please, what you want ?"
"
do You have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque.?",Yes we have your choice in our cafe.
"
do You have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque.?",Yes we have your choice in our cafe.
"do u have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee",Yes we have your choice in our cafe.
no can u suggest something else,Hope you like to have waffle ice-cream.
do u have bad pastery?,"No sir, but why."
what should i take,"Pardon, may i suggest you a red velvet."
,
ok i will have two waffle ice-cream.,Sure! 2 caffe latte are on way. Please wait for sometime.
what should i take,Hope you like to red velvet.
ok i will take one,"Pardon, may i suggest you a waffel choco."
hey,Hello! How may I help you.
